              precision    recall  f1-score   support

                 0.9934    0.9365    0.9641    161309
        <p:>     0.0000    0.0000    0.0000         0
           a     0.0000    0.0000    0.0000         0
          aː     0.9161    0.7263    0.8103     50582
         aː~     0.0000    0.0000    0.0000        18
           b     0.6800    0.7752    0.7245      3933
          bh     0.6444    0.6975    0.6699      2198
           d     0.6729    0.7201    0.6957      4859
          dh     0.5791    0.5278    0.5523      2427
           e     0.8588    0.7878    0.8218     36790
          e.     0.0000    0.0000    0.0000         0
           g     0.6470    0.8004    0.7156      4931
          gh     0.0000    0.0000    0.0000         0
           h     0.6567    0.7352    0.6937      4925
           i     0.4298    0.4141    0.4218      7092
          i.     0.0000    0.0000    0.0000         3
          iː     0.6499    0.7534    0.6978     17055
         iː~     0.0000    0.0000    0.0000         0
           j     0.5972    0.8082    0.6868      9780
           k     0.7291    0.8573    0.7880     13989
          kh     0.8269    0.8745    0.8500      6040
           l     0.7385    0.8345    0.7836      6796
           m     0.8200    0.8311    0.8255     15816
           n     0.7838    0.8383    0.8102     18571
           o     0.7013    0.7584    0.7287     16367
          o.     0.0000    0.0000    0.0000         9
          o~     0.0000    0.0000    0.0000         0
           p     0.7454    0.8733    0.8043      9487
          ph     0.7606    0.8362    0.7966      1581
           s     0.7757    0.8773    0.8234     13188
         sil     0.0000    0.0000    0.0000         0
          sp     0.0000    0.0000    0.0000         0
         spn     0.0000    0.0000    0.0000      1482
           t     0.7742    0.8536    0.8119     16195
          th     0.7291    0.7786    0.7530      5001
           u     0.5746    0.6980    0.6303      8236
          u.     0.0000    0.0000    0.0000         0
          u~     0.0000    0.0000    0.0000         0
          uː     0.3804    0.4082    0.3938      1940
         uː~     0.0000    0.0000    0.0000         0
           ŋ     0.0000    0.0000    0.0000         0
           ɔ     0.0000    0.0000    0.0000        56
          ɔ.     0.0000    0.0000    0.0000         0
           ɖ     0.4549    0.6467    0.5341      1749
          ɖh     0.3218    0.1718    0.2240       163
           ə     0.7395    0.5268    0.6153     34481
          ə.     0.0000    0.0000    0.0000        18
          əj     0.1998    0.4013    0.2668       471
          ə~     0.0000    0.0000    0.0000        10
          əʋ     0.4646    0.5213    0.4913       541
           ɛ     0.0000    0.0000    0.0000         3
          ɛ.     0.0000    0.0000    0.0000         0
          ɛ~     0.0000    0.0000    0.0000         0
          ɡh     0.5642    0.4385    0.4935       431
           ɭ     0.3634    0.5801    0.4468      1355
           ɱ     0.4614    0.6603    0.5432      8752
           ɲ     0.4000    0.5128    0.4494        78
           ɳ     0.4949    0.7131    0.5843      3503
           ɾ     0.7149    0.7497    0.7319     15244
           ʂ     0.4783    0.5315    0.5035      2348
           ʃ     0.6459    0.6145    0.6298      5422
           ʈ     0.6282    0.8199    0.7113      3586
          ʈh     0.6698    0.5106    0.5794       425
           ʋ     0.7085    0.7609    0.7338     11750
           ʤ     0.7682    0.8095    0.7883      7301
          ʤh     0.6077    0.3892    0.4745       406
           ʧ     0.6381    0.7370    0.6839      2703
          ʧh     0.4734    0.8027    0.5955      1804

   micro avg     0.7983    0.7983    0.7983    543200
   macro avg     0.4186    0.4544    0.4314    543200
weighted avg     0.8114    0.7983    0.8003    543200
