textgrid.file	word.idx.in.tg	word.ortho	word.ipa	word.start.in.tg	word.end.in.tg	phone.idx.in.wd	phone.ipa	phone.start.in.tg	phone.end.in.tg	postprobframe.idx.in.phone	postprobframe.start.in.tg	postprobframe.end.in.tg	phoneme.postprob	voice.actual	voice.postprob
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	0	0.78	0.79	p	1	0.25740778
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	1	0.79	0.8	p	1	0.66191024
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	2	0.8	0.81	p	1	0.86379296
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	3	0.81	0.8200000000000001	p	1	0.894379
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	4	0.8200000000000001	0.8300000000000001	aː	1	0.9611875
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	5	0.8300000000000001	0.8400000000000001	aː	1	0.98510945
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	6	0.84	0.85	aː	1	0.99505544
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	7	0.85	0.86	aː	1	0.9951574
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	8	0.86	0.87	b	1	0.9845351
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	0	0.87	0.88	b	1	0.944865
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	1	0.88	0.89	b	1	0.91302866
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	2	0.89	0.9	b	1	0.9276097
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	3	0.9	0.91	b	1	0.9416103
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	4	0.91	0.92	b	1	0.9463126
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	5	0.92	0.93	b	1	0.95616144
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	6	0.93	0.9400000000000001	b	1	0.94241154
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	7	0.9400000000000001	0.9500000000000001	b	1	0.96563053
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	8	0.9500000000000001	0.9600000000000001	b	1	0.9383006
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	9	0.96	0.97	b	1	0.9156829
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	10	0.97	0.98	b	1	0.94602436
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	0	0.98	0.99	b	1	0.99105304
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	1	0.99	1.0	aː	1	0.9941369
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	2	1.0	1.01	aː	1	0.99438334
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	3	1.01	1.02	aː	1	0.9926098
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	4	1.02	1.03	aː	1	0.98183113
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	5	1.03	1.04	aː	1	0.9651841
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	6	1.04	1.05	aː	1	0.96045333
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	7	1.05	1.06	aː	1	0.9572132
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	8	1.06	1.07	aː	1	0.9515998
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	9	1.07	1.08	aː	1	0.9284605
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	10	1.08	1.09	aː	1	0.9155852
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	11	1.09	1.1	aː	1	0.8946636
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	12	1.1	1.11	aː	1	0.8133298
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	13	1.11	1.12	ɾ	1	0.7638017
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	0	1.12	1.1300000000000001	ɾ	1	0.5901521
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	1	1.1300000000000001	1.1400000000000001	ph	1	0.2972325
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	2	1.1400000000000001	1.1500000000000001	ph	1	0.20863022
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	3	1.1500000000000001	1.1600000000000001	ph	1	0.20090471
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	4	1.16	1.17	ph	1	0.19058837
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	5	1.17	1.18	ph	1	0.17319435
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	6	1.18	1.19	ph	1	0.18313615
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	7	1.19	1.2	ph	1	0.21518692
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	8	1.2	1.21	s	1	0.3383419
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	9	1.21	1.22	s	1	0.46149683
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	10	1.22	1.23	s	1	0.4891794
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	0	1.23	1.24	s	1	0.5641506
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	1	1.24	1.25	s	1	0.7062486
