textgrid.file	word.idx.in.tg	word.ortho	word.ipa	word.start.in.tg	word.end.in.tg	phone.idx.in.wd	phone.ipa	phone.start.in.tg	phone.end.in.tg	postprobframe.idx.in.phone	postprobframe.start.in.tg	postprobframe.end.in.tg	phoneme.postprob	long.actual	long.postprob
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	0	0.78	0.79	p	0	0.040056676
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	1	0.79	0.8	p	0	0.31872404
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	2	0.8	0.81	p	0	0.8120165
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	3	0.81	0.8200000000000001	p	0	0.7223505
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	4	0.8200000000000001	0.8300000000000001	aː	0	0.8037769
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	5	0.8300000000000001	0.8400000000000001	aː	0	0.6860195
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	6	0.84	0.85	aː	0	0.67935216
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	7	0.85	0.86	aː	0	0.76242787
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	8	0.86	0.87	b	0	0.8352906
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	0	0.87	0.88	b	0	0.6702416
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	1	0.88	0.89	b	0	0.038930498
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	2	0.89	0.9	b	0	0.0015057608
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	3	0.9	0.91	b	0	0.00026989004
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	4	0.91	0.92	b	0	6.782081e-05
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	5	0.92	0.93	b	0	1.6267839e-05
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	6	0.93	0.9400000000000001	b	0	5.4596826e-06
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	7	0.9400000000000001	0.9500000000000001	b	0	8.158368e-06
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	8	0.9500000000000001	0.9600000000000001	b	0	0.0003092678
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	9	0.96	0.97	b	0	0.21739908
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	10	0.97	0.98	b	0	0.90114003
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	0	0.98	0.99	b	1	0.9870272
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	1	0.99	1.0	aː	1	0.99329174
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	2	1.0	1.01	aː	1	0.99356246
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	3	1.01	1.02	aː	1	0.98603606
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	4	1.02	1.03	aː	1	0.9742648
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	5	1.03	1.04	aː	1	0.98245275
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	6	1.04	1.05	aː	1	0.9673951
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	7	1.05	1.06	aː	1	0.93428606
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	8	1.06	1.07	aː	1	0.8886554
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	9	1.07	1.08	aː	1	0.83725977
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	10	1.08	1.09	aː	1	0.8085649
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	11	1.09	1.1	aː	1	0.7325295
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	12	1.1	1.11	aː	1	0.55554533
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	13	1.11	1.12	ɾ	1	0.5223664
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	0	1.12	1.1300000000000001	ɾ	0	0.43659133
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	1	1.1300000000000001	1.1400000000000001	ph	0	0.33139884
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	2	1.1400000000000001	1.1500000000000001	ph	0	0.04574297
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	3	1.1500000000000001	1.1600000000000001	ph	0	0.005061761
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	4	1.16	1.17	ph	0	0.0024244715
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	5	1.17	1.18	ph	0	0.0011453152
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	6	1.18	1.19	ph	0	0.000700654
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	7	1.19	1.2	ph	0	0.00035965623
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	8	1.2	1.21	s	0	0.04434296
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	9	1.21	1.22	s	0	0.0039176885
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	3	s	1.12	1.23	10	1.22	1.23	s	0	0.009412443
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	0	1.23	1.24	s	0	0.013662971
guf_09152_00540916881.TextGrid	2	ગામના	g aː m ə n aː	1.23	1.71	0	g	1.23	1.33	1	1.24	1.25	s	0	0.018061694
