textgrid.file	word.idx.in.tg	word.ortho	word.ipa	word.start.in.tg	word.end.in.tg	phone.idx.in.wd	phone.ipa	phone.start.in.tg	phone.end.in.tg	postprobframe.idx.in.phone	postprobframe.start.in.tg	postprobframe.end.in.tg	phoneme.postprob	spread_glottis.actual	spread_glottis.postprob
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	0	0.78	0.79	p	0	0.41385806
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	1	0.79	0.8	p	0	0.4890621
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	2	0.8	0.81	p	0	0.019690545
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	3	0.81	0.8200000000000001	p	0	0.028354496
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	4	0.8200000000000001	0.8300000000000001	aː	0	0.039422292
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	5	0.8300000000000001	0.8400000000000001	aː	0	0.018033039
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	6	0.84	0.85	aː	0	0.004209483
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	7	0.85	0.86	aː	0	0.002317147
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	0	ə	0.78	0.87	8	0.86	0.87	b	0	0.014575236
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	0	0.87	0.88	b	0	0.1983479
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	1	0.88	0.89	b	0	0.107717864
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	2	0.89	0.9	b	0	0.050898235
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	3	0.9	0.91	b	0	0.03154365
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	4	0.91	0.92	b	0	0.022621872
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	5	0.92	0.93	b	0	0.025088577
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	6	0.93	0.9400000000000001	b	0	0.049868874
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	7	0.9400000000000001	0.9500000000000001	b	0	0.08370519
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	8	0.9500000000000001	0.9600000000000001	b	0	0.15979086
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	9	0.96	0.97	b	0	0.25971496
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	1	g	0.87	0.98	10	0.97	0.98	b	0	0.21564123
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	0	0.98	0.99	b	0	0.009917681
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	1	0.99	1.0	aː	0	0.004769361
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	2	1.0	1.01	aː	0	0.0030669488
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	3	1.01	1.02	aː	0	0.005223876
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	4	1.02	1.03	aː	0	0.0151632
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	5	1.03	1.04	aː	0	0.038197488
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	6	1.04	1.05	aː	0	0.06857017
guf_09152_00540916881.TextGrid	1	અગાસ	ə g aː s	0.78	1.23	2	aː	0.98	1.12	7	1.05	1.06	aː	0	0.08728867
